Unnamed: 0;Age;Sexe;Profession;Type_logement;Compte_epargne;Compte_courant;Credit_amount;Duration;Purpose;Risk
0;67;homme;2;propriétaire;;moins de 500;1169;6;radio/TV;good
1;22;femme;2;propriétaire;moins de 3000;entre 500 et 3000;5951;48;radio/TV;bad
2;49;homme;0;propriétaire;moins de 3000;;2096;12;education;good
3;45;homme;2;gratuit;moins de 3000;moins de 500;7882;42;furniture/equipment;good
4;53;homme;2;gratuit;moins de 3000;moins de 500;4870;24;car;bad
5;35;homme;0;gratuit;;;9055;36;education;good
6;53;homme;2;propriétaire;plus de 30000;;2835;24;furniture/equipment;good
7;35;homme;3;location;moins de 3000;entre 500 et 3000;6948;36;car;good
8;61;homme;0;propriétaire;entre 10000 et 30000;;3059;12;radio/TV;good
9;28;homme;3;propriétaire;moins de 3000;entre 500 et 3000;5234;30;car;bad
10;25;femme;2;location;moins de 3000;entre 500 et 3000;1295;12;car;bad
11;24;femme;2;location;moins de 3000;moins de 500;4308;48;business;bad
12;22;femme;2;propriétaire;moins de 3000;entre 500 et 3000;1567;12;radio/TV;good
13;60;homme;0;propriétaire;moins de 3000;moins de 500;1199;24;car;bad
14;28;femme;2;location;moins de 3000;moins de 500;1403;15;car;good
15;32;femme;0;propriétaire;entre 3000 et 10000;moins de 500;1282;24;radio/TV;bad
16;53;homme;2;propriétaire;;;2424;24;radio/TV;good
17;25;homme;2;propriétaire;;moins de 500;8072;30;business;good
18;44;femme;3;gratuit;moins de 3000;entre 500 et 3000;12579;24;car;bad
19;31;homme;2;propriétaire;plus de 30000;;3430;24;radio/TV;good
20;48;homme;2;propriétaire;moins de 3000;;2134;9;car;good
21;44;homme;2;location;plus de 30000;moins de 500;2647;6;radio/TV;good
22;48;homme;0;location;moins de 3000;moins de 500;2241;10;car;good
23;44;homme;2;propriétaire;entre 3000 et 10000;entre 500 et 3000;1804;12;car;good
24;26;homme;2;propriétaire;;;2069;10;furniture/equipment;good
25;36;homme;0;propriétaire;moins de 3000;moins de 500;1374;6;furniture/equipment;good
26;39;homme;0;propriétaire;moins de 3000;;426;6;radio/TV;good
27;42;femme;2;location;entre 10000 et 30000;plus de 3000;409;12;radio/TV;good
28;34;homme;2;propriétaire;moins de 3000;entre 500 et 3000;2415;7;radio/TV;good
29;63;homme;2;propriétaire;moins de 3000;moins de 500;6836;60;business;bad
30;36;homme;2;propriétaire;entre 10000 et 30000;entre 500 et 3000;1913;18;business;good
31;27;homme;2;propriétaire;moins de 3000;moins de 500;4020;24;furniture/equipment;good
32;30;homme;2;propriétaire;entre 3000 et 10000;entre 500 et 3000;5866;18;car;good
33;57;homme;0;location;;;1264;12;business;good
34;33;femme;3;propriétaire;moins de 3000;plus de 3000;1474;12;furniture/equipment;good
35;25;homme;0;propriétaire;moins de 3000;entre 500 et 3000;4746;45;radio/TV;bad
