Age,Sexe,Profession,Type_logement,Compte_epargne,Compte_courant,Credit_amount,Duration
67,homme,qualifié,propriétaire,,moins de 500,1169,6
22,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,5951,48
49,homme,non qualifié,propriétaire,moins de 3000,,2096,12
45,homme,qualifié,gratuit,moins de 3000,moins de 500,7882,42
53,homme,qualifié,gratuit,moins de 3000,moins de 500,4870,24
35,homme,non qualifié,gratuit,,,9055,36
53,homme,qualifié,propriétaire,plus de 30000,,2835,24
35,homme,hautement qualifié,location,moins de 3000,entre 500 et 3000,6948,36
61,homme,non qualifié,propriétaire,entre 10000 et 30000,,3059,12
28,homme,hautement qualifié,propriétaire,moins de 3000,entre 500 et 3000,5234,30
25,femme,qualifié,location,moins de 3000,entre 500 et 3000,1295,12
24,femme,qualifié,location,moins de 3000,moins de 500,4308,48
22,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,1567,12
60,homme,non qualifié,propriétaire,moins de 3000,moins de 500,1199,24
28,femme,qualifié,location,moins de 3000,moins de 500,1403,15
32,femme,non qualifié,propriétaire,entre 3000 et 10000,moins de 500,1282,24
53,homme,qualifié,propriétaire,,,2424,24
25,homme,qualifié,propriétaire,,moins de 500,8072,30
44,femme,hautement qualifié,gratuit,moins de 3000,entre 500 et 3000,12579,24
31,homme,qualifié,propriétaire,plus de 30000,,3430,24
48,homme,qualifié,propriétaire,moins de 3000,,2134,9
44,homme,qualifié,location,plus de 30000,moins de 500,2647,6
48,homme,non qualifié,location,moins de 3000,moins de 500,2241,10
44,homme,qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,1804,12
26,homme,qualifié,propriétaire,,,2069,10
36,homme,non qualifié,propriétaire,moins de 3000,moins de 500,1374,6
39,homme,non qualifié,propriétaire,moins de 3000,,426,6
42,femme,qualifié,location,entre 10000 et 30000,plus de 3000,409,12
34,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,2415,7
63,homme,qualifié,propriétaire,moins de 3000,moins de 500,6836,60
36,homme,qualifié,propriétaire,entre 10000 et 30000,entre 500 et 3000,1913,18
27,homme,qualifié,propriétaire,moins de 3000,moins de 500,4020,24
30,homme,qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,5866,18
57,homme,non qualifié,location,,,1264,12
33,femme,hautement qualifié,propriétaire,moins de 3000,plus de 3000,1474,12
25,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,4746,45
31,homme,qualifié,gratuit,moins de 3000,,6110,48
37,homme,qualifié,propriétaire,moins de 3000,plus de 3000,2100,18
37,homme,qualifié,propriétaire,moins de 3000,plus de 3000,1225,10
24,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,458,9
30,homme,hautement qualifié,propriétaire,plus de 30000,,2333,30
26,homme,qualifié,propriétaire,plus de 30000,entre 500 et 3000,1158,12
44,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,6204,18
24,homme,qualifié,location,entre 3000 et 10000,moins de 500,6187,30
58,femme,non qualifié,gratuit,moins de 3000,moins de 500,6143,48
35,femme,hautement qualifié,propriétaire,moins de 3000,,1393,11
39,homme,qualifié,propriétaire,plus de 30000,,2299,36
23,femme,non qualifié,location,plus de 30000,moins de 500,1352,6
39,homme,non qualifié,propriétaire,moins de 3000,,7228,11
28,femme,qualifié,propriétaire,entre 3000 et 10000,,2073,12
29,homme,non qualifié,propriétaire,,entre 500 et 3000,2333,24
30,homme,hautement qualifié,propriétaire,moins de 3000,entre 500 et 3000,5965,27
25,homme,qualifié,propriétaire,moins de 3000,,1262,12
31,homme,qualifié,propriétaire,,,3378,18
57,homme,qualifié,gratuit,moins de 3000,entre 500 et 3000,2225,36
26,homme,non qualifié,propriétaire,,,783,6
52,homme,hautement qualifié,propriétaire,,entre 500 et 3000,6468,12
31,femme,qualifié,propriétaire,moins de 3000,,9566,36
23,femme,hautement qualifié,propriétaire,moins de 3000,plus de 3000,1961,18
23,femme,non qualifié,location,moins de 3000,moins de 500,6229,36
27,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,1391,9
50,homme,qualifié,propriétaire,,entre 500 et 3000,1537,15
61,homme,hautement qualifié,gratuit,moins de 3000,entre 500 et 3000,1953,36
25,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,14421,48
26,femme,qualifié,propriétaire,moins de 3000,,3181,24
48,homme,qualifié,propriétaire,,,5190,27
29,femme,qualifié,propriétaire,moins de 3000,,2171,12
22,homme,qualifié,propriétaire,entre 10000 et 30000,entre 500 et 3000,1007,12
37,homme,qualifié,gratuit,moins de 3000,,1819,36
25,femme,qualifié,propriétaire,,,2394,36
30,femme,qualifié,propriétaire,moins de 3000,,8133,36
46,homme,non qualifié,location,,,730,7
51,homme,hautement qualifié,gratuit,moins de 3000,moins de 500,1164,8
41,femme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,5954,42
40,homme,hautement qualifié,propriétaire,,moins de 500,1977,36
66,homme,hautement qualifié,gratuit,moins de 3000,moins de 500,1526,12
